наименование_материала,диаметр,толщина,длина,ширина
Д16Т,0,70.0,290,200
Ст35,20,0.0,30,0
Ст20,20,0.0,6,0
ст20,6,0.0,34,0
Ст20,15,0.0,45,0
INOX,0,8.0,40,32
INOX,0,8.0,32,24
Бр.Б2,0,0.4,60,15
ст20,8,0.0,15,0
Сталь  20-б,8,0.0,13,0
д16 т,0,12.0,290,200
Сталь 3,0,2.0,52,42
Д16 АТ,0,3.0,280,180
Ст. 20,18,0.0,10,0
2Н-1-ТМКЩ-С2-2,0,2.0,40,40
2Н-1-ТМКЩ-С2-2,0,2.0,40,40
2Н-1-ТМКЩ-С2-2,0,2.0,40,40
2Н-1-ТМКЩ-С2-2,0,2.0,40,40
"Амц M 2,0",0,10.0,60,30
Полиамид,0,6.0,26,22
Д16 Т,0,20.0,25,125
"Амц M 1,5",0,15.0,25,120
Д16 Т,25,0.0,25,0
Д16 Т,20,0.0,20,0
Д16 Т,20,0.0,6,0
Сталь 35ХМЛ,0,0,0,0
Сталь 35ХМЛ,0,0,0,0
Сталь 35ХМЛ,0,0,0,0
Сталь 35ХМЛ,0,0,0,0
Сталь 35ХМЛ,0,0,0,0
Сталь 35ХМЛ,0,0,0,0
Сталь 35ХМЛ,0,0,0,0
Сталь 35ХМЛ,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
Сталь 35ХМЛ,0,0,0,0
Сталь 35ХМЛ,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
ВЧ40  или Сталь 40х,0,0,0,0
SUS 304,130,0,25,0
SUS 304,32,0,50,0
SUS 304,57,0,140,0
09 Г2С,0,25,290,290
Ст3,0,20,215,215
09 Г2С,0,25,185,185
09 Г2С,0,40,190,190
09 Г2С,0,16,145,145
08Х18Н10Т,32,0,30,0
Амг3,0,5,65,36
09 Г2С,0,4,65,104
09 Г2С,0,80,270,270
09 Г2С,0,20,225,225
09 Г2С,0,14,190,190
09 Г2С,0,14,155,155
40Х,16,0,56,0
45,0,20,45,30
Д16Т,60,0,81,0
Д16Т,70,0,25,0
7075 T6,0,60,95,52
14Х17Н2,75,0,10,0
420J2,125,0,16,0
INOX304,0,3,40,28
Д16Т,45,0,63,0
Д16Т,60,0,30,0
