обозначение,наименование,индекс,коэф_входимости,заказанное_кол,уровень_критичности,примечания,наименование_материала,locmat_name,locmat,уд_вес,стоимость_мат_за_1кг_м,заг_диаметр,заг_толщина,заг_длина,заг_ширина,заг_на_кол_во,прутки,плиты,вес,стоимость_мат_ла,индустриализация_вид,индустриализация_стоимость,подряд_вид,подряд_стоимость,термообработка_вид,терообработка_стоимость,покрытие_площадь,покрытие_вид,покрытие_стоимость,резка_т_подг_мин,резка_т_маш_мин,резка_т_сум_ч,cn_т_подг_мин,cn_т_маш_мин,cn_т_сум_ч,dart_т_подг_мин,dart_т_маш_мин,dart_т_сум_ч,mx-cn_т_подг_мин,mx-cn_т_маш_мин,mx-cn_т_сум_ч,tour_т_подг_мин,tour_т_маш_мин,tour_т_сум_ч,mx\dart-tour_т_подг_мин,mx\dart-tour_т_ман_мин,mx\dart-tour_т_сум_ч,финишная_т_подг_мин,финишная_т_маш_мин,финишная_т_сум_ч,слесарная_т_подг_мин,слесарная_т_маш_мин,слесарная_т_сум_ч,шлифовальная_т_подг_мин,шлифовальная_т_маш_мин,шлифовальная_т_сум_ч,резерв_т_подг_мин,резерв_т_маш_мин,резерв_т_сум_ч,т_партии_ч,номер_заказа,full_cod1
НСТК.44.000.002,Фланец,0,1,50,С1,,Сталь 10,,,7.86,1.5,,8.0,45.0,25.0,1.0,0.0,0.0646875,4.06755,6.101324999999999,,0.0,Нб9,0.5,,0.0,0.00337,,0.0,5.0,1.0,0.9166666666666666,,,0.0,120.0,16.0,15.33333333333333,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.5,0.5,,,0.0,,,0.0,16.75,39282,.44.000.002
НСТК.44.000.004,Фланец,0,1,50,С1,,Сталь 10,,,7.86,1.5,,8.0,45.0,25.0,1.0,0.0,0.0646875,4.06755,6.101324999999999,,0.0,Нб9,0.5,,0.0,0.00337,,0.0,5.0,1.0,0.9166666666666666,,,0.0,150.0,20.0,19.16666666666667,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.5,0.5,,,0.0,,,0.0,20.58333333333334,39282,.44.000.004
НСТК.44.000.006,Крышка задняя,1,1,50,С1,,POM NOIR ,,,1.41,12.0,,20.0,85.0,50.0,1.0,0.0,0.2443749999999999,6.891375,82.6965,,0.0,,0.0,,0.0,0.0139,,0.0,5.0,3.0,2.583333333333333,,,0.0,360.0,60.0,56.0,,,0.0,,,0.0,,,0.0,,2.0,1.666666666666667,5.0,4.0,3.416666666666667,,,0.0,,,0.0,63.66666666666667,39282,.44.000.006
НСТК.44.000.007,Основание,1,1,50,С1,,АМг6,,,2.68,9.0,,6.0,50.0,35.0,1.0,0.0,0.1006249999999999,1.61805,14.56245,,0.0,,0.0,,0.0,0.00452,Ан.Окс.чёрный,0.3389999999999999,5.0,1.0,0.9166666666666666,,,0.0,150.0,20.0,19.16666666666667,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.5,0.5,,,0.0,,,0.0,20.58333333333334,39282,.44.000.007
НСТК.44.000.008,Ручка,1,1,50,С1,,ПОМ чёрный,,,1.41,12.0,35.0,,25.0,,1.0,1.4375,0.0,1.949093671875,23.3891240625,,0.0,,0.0,,0.0,0.00467075,,0.0,5.0,0.25,0.2916666666666667,,,0.0,180.0,15.0,15.5,,,0.0,90.0,4.0,4.833333333333333,,,0.0,,1.0,0.8333333333333334,5.0,0.5,0.5,,,0.0,,,0.0,21.95833333333334,39282,.44.000.008
НСТК.44.000.012,Ось ,0,1,50,С1,,20Х13,,,7.65,4.0,6.0,,18.0,,1.0,1.035,0.0,0.2237556149999999,0.8950224599999997,,0.0,,0.0,,0.0,0.00039564,,0.0,5.0,0.15,0.2083333333333333,,,0.0,60.0,4.0,4.333333333333333,,,0.0,75.0,4.0,4.583333333333333,,,0.0,,,0.0,5.0,0.25,0.2916666666666667,,,0.0,,,0.0,9.416666666666668,39282,.44.000.012
НСТК.44.000.013,Гайка,0,1,50,С1,,ЛС59-1,,,8.5,12.0,20.0,,11.0,,1.0,0.6325,0.0,1.6881425,20.25771,,0.0,покраска,2.0,,0.0,0.0013188000000000002,,0.0,5.0,0.2,0.25,,,0.0,,,0.0,,,0.0,90.0,4.0,4.833333333333333,,,0.0,,,0.0,5.0,1.0,0.9166666666666666,,,0.0,,,0.0,6.000000000000001,39282,.44.000.013
НСТК.44.000.014,Прокладка,0,1,50,С1,,"Стеклотекстолит КАСТ-0,5",,,1.5,150.0,,0.5,45.0,30.0,1.0,0.0,0.077625,0.05821875,8.7328125,,0.0,,0.0,,0.0,0.002775,,0.0,5.0,0.25,0.2916666666666667,,,0.0,90.0,5.0,5.666666666666667,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.5,0.5,,,0.0,,,0.0,6.458333333333334,39282,.44.000.014
НСТК.44.000.015,Пластина ,0,1,50,С1,,20,,,7.86,1.5,,1.0,45.0,30.0,1.0,0.0,0.077625,0.6101325,0.91519875,,0.0,,0.0,,0.0,0.00285,,0.0,5.0,0.5,0.5,,,0.0,90.0,7.0,7.333333333333333,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.5,0.5,,,0.0,,,0.0,8.333333333333332,39282,.44.000.015
НСТК.44.000.016,Вставка,0,1,50,С1,,ПОМ чёрный,,,1.41,12.0,15.0,,15.0,,1.0,0.8624999999999999,0.0,0.2147980781249999,2.577576937499999,,0.0,,0.0,,0.0,0.00105975,,0.0,5.0,0.25,0.2916666666666667,,,0.0,75.0,6.0,6.25,,,0.0,45.0,2.0,2.416666666666667,,,0.0,,,0.0,5.0,0.25,0.2916666666666667,,,0.0,,,0.0,9.25,39282,.44.000.016
