обозначение,наименование,индекс,коэф_входимости,заказанное_кол,уровень_критичности,примечания,наименование_материала,locmat_name,locmat,уд_вес,стоимость_мат_за_1кг_м,заг_диаметр,заг_толщина,заг_длина,заг_ширина,заг_на_кол_во,прутки,плиты,вес,стоимость_мат_ла,индустриализация_вид,индустриализация_стоимость,подряд_вид,подряд_стоимость,термообработка_вид,терообработка_стоимость,покрытие_площадь,покрытие_вид,покрытие_стоимость,резка_т_подг_мин,резка_т_маш_мин,резка_т_сум_ч,cn_т_подг_мин,cn_т_маш_мин,cn_т_сум_ч,dart_т_подг_мин,dart_т_маш_мин,dart_т_сум_ч,mx-cn_т_подг_мин,mx-cn_т_маш_мин,mx-cn_т_сум_ч,tour_т_подг_мин,tour_т_маш_мин,tour_т_сум_ч,mx\dart-tour_т_подг_мин,mx\dart-tour_т_ман_мин,mx\dart-tour_т_сум_ч,финишная_т_подг_мин,финишная_т_маш_мин,финишная_т_сум_ч,слесарная_т_подг_мин,слесарная_т_маш_мин,слесарная_т_сум_ч,шлифовальная_т_подг_мин,шлифовальная_т_маш_мин,шлифовальная_т_сум_ч,резерв_т_подг_мин,резерв_т_маш_мин,резерв_т_сум_ч,т_партии_ч,номер_заказа,full_cod1,year
HY18-073-10,HOUSING,А,1,1.0,,,,Труба 250х200  AISI 304,,,,12.0,240.0,,280.0,,1.0,0.322,0.0,45.402,544.8240000000001,,0,,0.0,0.30144,,0.0,1146.4073333333336,15.0,30.0,45.0,,,0.0,120.0,30.0,150.0,,,0.0,600.0,240.0,840.0,,,0.0,,,0.0,10.0,30.0,40.0,,,0.0,,,0.0,17.91666666666667,37899,18-073-10,2019
HY18-073-11,TAPE ARRIERE,А,1,1.0,,,аналог HY18-065-12 заказ 37895,AISI 304,,,7.92,7.0,250.0,,36.0,,1.0,0.0414,0.0,16.087005,112.609035,,0,,0.0,0.126385,,0.0,628.359035,10.0,20.0,30.0,,,0.0,360.0,65.0,425.0,,,0.0,360.0,70.0,430.0,,,0.0,,,0.0,10.0,20.0,30.0,,,0.0,,,0.0,15.25,37899,18-073-11,2019
HY18-073-15,SUPPORT ENTREE DE CABLE,А,2,2.0,,,заказ 37895,AISI 304,,,7.92,7.0,80.0,,32.0,,1.0,0.0736,0.0,2.928549888,20.499849216,,0,,0.0,0.0180864,,0.0,98.10824135509334,5.0,8.0,13.0,,,0.0,90.0,15.0,105.0,,,0.0,90.0,8.0,98.0,,,0.0,,,0.0,5.0,2.0,7.0,,,0.0,,,0.0,4.266666666666667,37899,18-073-15,2019
HY18-073-16,BOUCHON,А,1,1.0,,,заказ 37895,AISI 304,,,7.92,7.0,80.0,,32.0,,1.0,0.0368,0.0,1.464274944,10.249924608,,0,,0.0,0.0180864,,0.0,115.08325794133334,5.0,8.0,13.0,,,0.0,90.0,15.0,105.0,,,0.0,60.0,5.0,65.0,,,0.0,,,0.0,5.0,2.0,7.0,,,0.0,,,0.0,3.166666666666667,37899,18-073-16,2019
HY18-073-23,JONCTION,А,1,1.0,,,заказ 37895,AISI 304,,,7.92,7.0,250.0,,90.0,,1.0,0.1034999999999999,0.0,40.2175125,281.5225875,,0,,0.0,0.168775,,0.0,905.1892541666666,10.0,20.0,30.0,,,0.0,200.0,40.0,240.0,,,0.0,500.0,300.0,800.0,,,0.0,,,0.0,10.0,20.0,30.0,,,0.0,,,0.0,18.33333333333333,37899,18-073-23,2019
HY18-073-19,TAPE AVANT,А,1,1.0,,,,AISI 304,,,7.92,7.0,250.0,,41.0,,1.0,0.04715,0.0,18.32131125,128.24917875,,0,,0.0,0.13031,,0.0,687.74917875,10.0,20.0,30.0,,,0.0,400.0,80.0,480.0,,,0.0,360.0,90.0,450.0,,,0.0,,,0.0,10.0,20.0,30.0,,,0.0,,,0.0,16.5,37899,18-073-19,2019
HY18-073-24,HOUSING,А,1,1.0,,,,Труба 250х200  AISI 304,,,,12.0,240.0,,130.0,,1.0,0.1495,0.0,21.0795,252.954,,0,,0.0,0.1884,,0.0,644.5373333333333,15.0,30.0,45.0,,,0.0,120.0,30.0,150.0,,,0.0,360.0,120.0,480.0,,,0.0,,,0.0,10.0,30.0,40.0,,,0.0,,,0.0,11.91666666666667,37899,18-073-24,2019
HY18-011-10,PLATINE,А,1,1.0,,,,AISI 304,,,7.92,7.0,250.0,,20.0,,1.0,0.023,0.0,8.937225,62.560575,,0,,0.0,0.113825,,0.0,342.2272416666667,10.0,20.0,30.0,,,0.0,360.0,100.0,460.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,5.0,10.0,,,0.0,,,0.0,8.333333333333334,37899,18-011-10,2019
HY18-011-14,TIRANT,А,3,3.0,,замена материала на наш аналог 95Х18,,X90,,,7.8,7.0,15.0,,400.0,,1.0,1.38,0.0,1.9011915,13.308340500000002,,0,,0.0,0.01919325,,0.0,25.608335722222225,5.0,1.0,6.0,,,0.0,,,0.0,,,0.0,40.0,10.0,50.0,,,0.0,,,0.0,,,0.0,20.0,5.0,25.0,,,0.0,1.883333333333333,37899,18-011-14,2019
HY18-011-15,SUPPORT TIRANT,А,3,3.0,,,,AISI 304,,,7.92,7.0,40.0,,18.0,,1.0,0.0620999999999999,0.0,0.617740992,4.324186944,,0,,0.0,0.0047728,,0.0,46.24417342577777,5.0,4.0,9.0,,,0.0,75.0,6.0,81.0,,,0.0,90.0,12.0,102.0,,,0.0,,,0.0,5.0,0.5,5.5,,,0.0,,,0.0,4.041666666666667,37899,18-011-15,2019
