обозначение,наименование,индекс,коэф_входимости,заказанное_кол,уровень_критичности,примечания,наименование_материала,locmat_name,locmat,уд_вес,стоимость_мат_за_1кг_м,заг_диаметр,заг_толщина,заг_длина,заг_ширина,заг_на_кол_во,прутки,плиты,вес,стоимость_мат_ла,индустриализация_вид,индустриализация_стоимость,подряд_вид,подряд_стоимость,термообработка_вид,терообработка_стоимость,покрытие_площадь,покрытие_вид,покрытие_стоимость,резка_т_подг_мин,резка_т_маш_мин,резка_т_сум_ч,cn_т_подг_мин,cn_т_маш_мин,cn_т_сум_ч,dart_т_подг_мин,dart_т_маш_мин,dart_т_сум_ч,mx-cn_т_подг_мин,mx-cn_т_маш_мин,mx-cn_т_сум_ч,tour_т_подг_мин,tour_т_маш_мин,tour_т_сум_ч,mx\dart-tour_т_подг_мин,mx\dart-tour_т_ман_мин,mx\dart-tour_т_сум_ч,финишная_т_подг_мин,финишная_т_маш_мин,финишная_т_сум_ч,слесарная_т_подг_мин,слесарная_т_маш_мин,слесарная_т_сум_ч,шлифовальная_т_подг_мин,шлифовальная_т_маш_мин,шлифовальная_т_сум_ч,резерв_т_подг_мин,резерв_т_маш_мин,резерв_т_сум_ч,т_партии_ч,номер_заказа,full_cod1
427772023-001,"IMAGING OPTIC, BRACKET BOTTOM, A700",AA+,50.0,50.0,С1,,6061T6,,,2.7,8.75,,25.0,380.0,100.0,1.0,0.0,1.995,134.6625,1178.296875,1071.1789772727277,240.0,Black Anodize,15,,0,0.1,Black Anodize,7.5,15.0,1.0,1.083333333333333,600.0,155.0,139.1666666666667,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,45.0,20.0,17.41666666666667,,,0.0,,,0.0,157.6666666666667,38583,427772023-001
427772023-001,"IMAGING OPTIC, BRACKET BOTTOM, A700",0,1.0,1.0,С1,,6061T6,,,2.7,8.5,,25.0,380.0,100.0,1.0,0.0,0.038,2.565,21.8025,6.4912280701754375,0.0,Black Anodize,15,,0,0.1,Black Anodize,7.5,15.0,1.0,0.2666666666666666,600.0,160.0,12.66666666666667,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,15.0,45.0,1.0,,,0.0,,,0.0,13.93333333333333,38583,427772023-001
HY08-005-10,ENTRETOISE,B,3.0,3.0,RC1,,,2017,LOCMAT02004,J D16T D0012,2.8,6.0,12.0,,35.0,,1.0,1.06575,0.0,0.337322664,2.023935984,,0,,0.0,0.0015448799999999998,ALODINE1200,0.030897599999999997,1.6975287994666666,,,0.0,,,0.0,,,0.0,,,0.0,30.0,2.0,32.0,,,0.0,,,0.0,3.0,0.25,3.25,,,0.0,,,0.0,1.675,38588,08-005-10
HY08-005-12,AXE DE BRIDAGE,C,2.0,2.0,RC2,,,bronze,LOCMAT04174,J BRAG9-4 D012,8.8,12.0,20.0,,55.0,,1.0,1.1165,0.0,3.085112800000001,240.0,,0,passivation,1.0,0.0040820000000000006,,0.0,18.4625,,,0.0,,,0.0,,,0.0,,,0.0,60.0,5.0,65.0,30.0,1.0,31.0,,,0.0,5.0,0.5,5.5,,,0.0,,,0.0,3.75,38588,08-005-12
HY08-005-13,PLAQUE SUR TAPE ARRIERE,D,1.0,1.0,RC2,,,2017,LOCMAT02506,P D16T EP010,2.8,6.0,,10.0,80.0,80.0,1.0,0.0,0.0736,2.0608,12.3648,,0,,0.0,0.016,ALODINE1200,0.32,13.114813333333334,5.0,0.5,5.5,,,0.0,90.0,11.0,101.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,4.0,9.0,,,0.0,,,0.0,4.25,38588,08-005-13
HY08-075-13,PION Ø10,A,2.0,2.0,RC2,,,INOX304L,LOCMAT01053,J INOX 304L D012,7.8,6.0,5.0,,27.0,,1.0,0.3105,0.0,0.0475297875,0.285178725,,0,термообработка,0.5,0.00046315,,0.0,1.9035178725,,,0.0,,,0.0,,,0.0,,,0.0,15.0,1.25,16.25,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.4583333333333333,38588,08-075-13
HY08-075-14,PION Ø4,A,2.0,2.0,RC2,,,INOX304L,LOCMAT01045,J INOX 304L D005,7.8,6.0,5.0,,17.0,,1.0,0.1954999999999999,0.0,0.0299261624999999,0.1795569749999999,,0,термообработка,0.5,0.00030615000000000004,,0.0,1.8929556975,,,0.0,,,0.0,,,0.0,,,0.0,15.0,1.25,16.25,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.4583333333333333,38588,08-075-14
HY08-075-16,BARRETTE DE SERRAGE,A,1.0,1.0,RC1,,,CuZn39Pb2,LOCMAT04614,"P LS59-1 EP005,5",8.8,8.0,,3.0,10.0,84.0,1.0,0.0,0.00966,0.255024,2.040192,,0,,0.0,0.002244,,0.0,6.214019199999999,5.0,0.5,5.5,,,0.0,60.0,5.0,65.0,,,0.0,,,0.0,,,0.0,,,0.0,3.0,0.5,3.5,,,0.0,,,0.0,2.133333333333333,38588,08-075-16
HY06 052 50,Berceau,B1,14.0,14.0,,,НОВЫЙ ИНДЕКС,ALU ,,,2.7,8.0,,2.0,187.0,55.0,1.0,0.0,0.1655885,0.8941779000000001,7.153423200000001,,0,,0,0.021538,Ан.Окс.ч.,0.8615200000000001,3.467716895238095,5.0,0.5,5.5,,,0.0,90.0,17.0,107.0,,,0.0,,,0.0,,,0.0,,,0.0,20.0,4.0,24.0,,,0.0,,,0.0,6.933333333333334,38607,06 052 50
HY06 052 28,Rondelle inferieure,C,20.0,20.0,,,,2017,,,2.78,8.0,,5.0,118.0,70.0,1.0,0.0,0.1899799999999999,2.640722,21.125776,,0,,0,0.0184,Ан.Окс.ч.,0.736,,5.0,0.5,5.5,,,0.0,60.0,10.0,70.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,2.0,7.0,,,0.0,,,0.0,5.333333333333333,38607,06 052 28
