item,number_cmd,PRODUIT,N°PIECE,IND PROD,REF_BAAN,full_cod1,обозначение,номер_заказа
497057,38583,427772023,1,AA+,427772023-001,427772023-001,427772023-001,38583
497057,38583,427772023,1,AA+,427772023-001,427772023-001,427772023-001,38583
497021,38588,HY08-005,10,B,HY08-005-10,08-005-10,HY08-005-10,38588
497022,38588,HY08-005,12,C,HY08-005-12,08-005-12,HY08-005-12,38588
497023,38588,HY08-005,13,D,HY08-005-13,08-005-13,HY08-005-13,38588
497024,38588,HY08-075,13,A,HY08-075-13,08-075-13,HY08-075-13,38588
497025,38588,HY08-075,14,A,HY08-075-14,08-075-14,HY08-075-14,38588
497026,38588,HY08-075,16,A,HY08-075-16,08-075-16,HY08-075-16,38588
497060,38607,HY06 052,50,B1,HY06 052 50,06 052 50,HY06 052 50,38607
497061,38607,HY06 052,28,C,HY06 052 28,06 052 28,HY06 052 28,38607
497062,38607,HY06 052,29,D,HY06 052 29,06 052 29,HY06 052 29,38607
497063,38607,HY06 052,30,D,HY06 052 30,06 052 30,HY06 052 30,38607
497064,38607,HY06 052,31,B,HY06 052 31,06 052 31,HY06 052 31,38607
497065,38607,HY06 052,32,C,HY06 052 32,06 052 32,HY06 052 32,38607
497066,38607,HY06 052,36,F,HY06 052 36,06 052 36,HY06 052 36,38607
497067,38607,HY06 052,37,B,HY06 052 37,06 052 37,HY06 052 37,38607
497068,38607,HY06 052,38,H,HY06 052 38,06 052 38,HY06 052 38,38607
497069,38607,HY06 052,39,F,HY06 052 39,06 052 39,HY06 052 39,38607
497070,38607,HY06 052,42,A,HY06 052 42,06 052 42,HY06 052 42,38607
497071,38607,HY06 052,43,A,HY06 052 43,06 052 43,HY06 052 43,38607
497072,38607,HY06 052,46,A,HY06 052 46,06 052 46,HY06 052 46,38607
497073,38607,HY06 052,47,B,HY06 052 47,06 052 47,HY06 052 47,38607
497074,38607,HY06 052,49,C,HY06 052 49,06 052 49,HY06 052 49,38607
497075,38607,HY06 052,51,A,HY06 052 51,06 052 51,HY06 052 51,38607
497076,38607,HY06 052,52,A,HY06 052 52,06 052 52,HY06 052 52,38607
497077,38607,HY06 052,53,A,HY06 052 53,06 052 53,HY06 052 53,38607
497078,38607,HY06 052,54,B,HY06 052 54,06 052 54,HY06 052 54,38607
497079,38607,HY06 052,55,A,HY06 052 55,06 052 55,HY06 052 55,38607
497080,38607,HY06 052,56,A,HY06 052 56,06 052 56,HY06 052 56,38607
497081,38607,HY06 052,57,A,HY06 052 57,06 052 57,HY06 052 57,38607
497082,38607,HY06 052,58,A,HY06 052 58,06 052 58,HY06 052 58,38607
497083,38607,HY06 052,59,B,HY06 052 59,06 052 59,HY06 052 59,38607
497084,38607,HY06 052,65,B,HY06 052 65,06 052 65,HY06 052 65,38607
497085,38607,HY06 052,75,A,HY06 052 75,06 052 75,HY06 052 75,38607
497730,38658,HY06-052,16,H,HY06-052 -16,06-052 -16,HY06-052 -16,38658
497731,38658,HY06-052,10,H,HY06-052-10,06-052-10,HY06-052-10,38658
497732,38658,HY06-052,12,E,HY06-052-12,06-052-12,HY06-052-12,38658
497733,38658,HY06 052,13,C,HY06 052 13,06 052 13,HY06 052 13,38658
497734,38658,HY06 052,15,G,HY06 052  15,06 052  15,HY06 052  15,38658
499646,38798,HCTK 26.000-01,1,01,HCTK 26.000.001-01, 26.000.001-01,НСТК 26.000.001-01,38798
499647,38798,HCTK.29.000,18,01,HCTK.29.000.018,.29.000.018,НСТК.29.000.018,38798
499648,38798,HCTK.29.000,29,00,HCTK.29.000.029,.29.000.029,НСТК.29.000.029,38798
499649,38798,HCTK.29.000-01,35,01,HCTK.29.000.035-01,.29.000.035-01,НСТК.29.000.035-01,38798
499650,38798,HCTK.28.000-04,1,00,HCTK.28.000.001-04,.28.000.001-04,НСТК.28.000.001-04,38798
499651,38798,HCTK.26.000,8,00,HCTK.26.000.008,.26.000.008,НСТК.26.000.008,38798
499652,38798,HCTK.10.000,3,00,HCTK.10.000.003,.10.000.003,НСТК.10.000.003,38798
499653,38798,HCTK.29.000,37,00,HCTK.29.000.037,.29.000.037,НСТК.29.000.037,38798
499943,38812,HY04-210,14,A,HY04-210-14,04-210-14,HY04-210-14,38812
499944,38812,HY04-210,17,A,HY04-210-17,04-210-17,HY04-210-17,38812
499945,38812,HY04-210,99,A,HY04-210-99,04-210-99,HY04-210-99,38812
499946,38812,HY08-023,11,B,HY08-023-11,08-023-11,HY08-023-11,38812
499947,38812,HY15-275,10,A,HY15-275-10,15-275-10,HY15-275-10,38812
499948,38812,HY15-275,12,B,HY15-275-12,15-275-12,HY15-275-12,38812
499949,38812,HY08-023,13,B,HY08-023-13,08-023-13,HY08-023-13,38812
499950,38812,HY08-023,14,A,HY08-023-14,08-023-14,HY08-023-14,38812
500318,38867,HY19-051,12,D,HY19-051-12,19-051-12,HY19-051-12,38867
500758,38907,HY 13 085 ,80,C,HY 13 085 80, 13 085 80,HY 13 085 80,38907
500759,38907,HY 13 085 ,81,B,HY 13 085 81, 13 085 81,HY 13 085 81,38907
500760,38907,HY 13 085 ,83,B,HY 13 085 83, 13 085 83,HY 13 085 83,38907
500761,38907,HY 13 085 ,84,B,HY 13 085 84, 13 085 84,HY 13 085 84,38907
500919,38913,38913,1,00,38913_001,38913_001,38913_001,38913
501339,38975,HY01-287,21,D,HY01-287-21,01-287-21,HY01-287-21,38975
501340,38975,HY01-287-01,21,D,HY01-287-21-01,01-287-21-01,HY01-287-21-01,38975
501341,38975,HY01-287-02,21,D,HY01-287-21-02,01-287-21-02,HY01-287-21-02,38975
501342,38975,HY01-287-03,21,D,HY01-287-21-03,01-287-21-03,HY01-287-21-03,38975
501343,38975,HY01-287-04,21,D,HY01-287-21-04,01-287-21-04,HY01-287-21-04,38975
501344,38975,HY01-287,29,C,HY01-287-29,01-287-29,HY01-287-29,38975
501345,38975,HY01-287-1,29,C,HY01-287-29-1,01-287-29-1,HY01-287-29-1,38975
501346,38975,HY01-287-2,29,C,HY01-287-29-2,01-287-29-2,HY01-287-29-2,38975
501347,38975,HY13-048,19,A,HY13-048-19,13-048-19,HY13-048-19,38975
501353,38981,HY1411,310,D,HY1411310,1411310,HY1411310,38981
501354,38981,HY1411,312,D,HY1411312,1411312,HY1411312,38981
501355,38981,HY1411,313,E,HY1411313,1411313,HY1411313,38981
501784,38981,HY1411-1,313,E,HY1411313-1,1411313-1,HY1411313-1,38981
501785,38981,HY1411-2,313,E,HY1411313-2,1411313-2,HY1411313-2,38981
501786,38981,HY1411-3,313,E,HY1411313-3,1411313-3,HY1411313-3,38981
501787,38981,HY1411-4,313,E,HY1411313-4,1411313-4,HY1411313-4,38981
501356,38981,HY1411,314,E,HY1411314,1411314,HY1411314,38981
501788,38981,HY1411-1,314,E,HY1411314-1,1411314-1,HY1411314-1,38981
501789,38981,HY1411-2,314,E,HY1411314-2,1411314-2,HY1411314-2,38981
501790,38981,HY1411-3,314,E,HY1411314-3,1411314-3,HY1411314-3,38981
501791,38981,HY1411-4,314,E,HY1411314-4,1411314-4,HY1411314-4,38981
501357,38981,HY1411,315,A,HY1411315,1411315,HY1411315,38981
501358,38981,HY1411,318,E,HY1411318,1411318,HY1411318,38981
501359,38981,HY1411,319,D,HY1411319,1411319,HY1411319,38981
501360,38981,HY1411,320,D,HY1411320,1411320,HY1411320,38981
501361,38981,HY1411,322,B,HY1411322,1411322,HY1411322,38981
501362,38981,HY1411,323,B,HY1411323,1411323,HY1411323,38981
501363,38981,HY1411,324,B,HY1411324,1411324,HY1411324,38981
501364,38981,HY1411,325,B,HY1411325,1411325,HY1411325,38981
0,0,0,0,0,0,13-085-13,HY13-085-13,38986
0,0,0,0,0,0,13-085-22,HY13-085-22,38986
0,0,0,0,0,0,13-085-33,HY13-085-33,38986
0,0,0,0,0,0,13-085-34,HY13-085-34,38986
501392,38986,HY 13 085 ,54,C,HY 13 085 54, 13 085 54,HY 13 085 54,38986
501393,38986,HY 13 085 ,80,C,HY 13 085 80, 13 085 80,HY 13 085 80,38986
501394,38986,HY 13 085 ,81,B,HY 13 085 81, 13 085 81,HY 13 085 81,38986
501395,38986,HY 13 085 ,82,A,HY 13 085 82, 13 085 82,HY 13 085 82,38986
501396,38986,HY 13 085 ,87,A,HY 13 085 87, 13 085 87,HY 13 085 87,38986
502004,38986,MPHY 15 017 ,11,B1,MPHY 15 017 11, 15 017 11,MPHY 15 017 11,38986
501859,39041,HY08-075,10,D,HY08-075-10,08-075-10,HY08-075-10,39041
501860,39041,HY08-075,11,A,HY08-075-11,08-075-11,HY08-075-11,39041
501861,39041,HY08-075,12,A,HY08-075-12,08-075-12,HY08-075-12,39041
501862,39041,HY08-075,13,A,HY08-075-13,08-075-13,HY08-075-13,39041
501863,39041,HY08-075,14,A,HY08-075-14,08-075-14,HY08-075-14,39041
501864,39041,HY08-075,15,E,HY08-075-15,08-075-15,HY08-075-15,39041
501865,39041,HY08-075,16,A,HY08-075-16,08-075-16,HY08-075-16,39041
501866,39041,HY08-075,17,A,HY08-075-17,08-075-17,HY08-075-17,39041
